iter	Passed	Remaining
469	1626	1834
470	1629	1830
471	1632	1825
472	1641	1829
473	1644	1824
474	1646	1820
475	1659	1826
476	1661	1822
477	1676	1831
478	1678	1826
479	1702	1844
480	1706	1841
481	1709	1836
482	1711	1831
483	1716	1830
484	1719	1826
485	1722	1821
486	1726	1818
487	1732	1817
488	1734	1812
489	1736	1807
490	1738	1801
491	1739	1796
492	1741	1791
493	1748	1790
494	1749	1785
495	1751	1780
496	1753	1774
497	1756	1770
498	1761	1768
499	1764	1764
500	1765	1758
501	1767	1753
502	1769	1748
503	1771	1742
504	1772	1737
505	1775	1733
506	1777	1728
507	1778	1722
508	1780	1717
509	1782	1712
510	1783	1706
511	1785	1701
512	1790	1699
513	1792	1694
514	1793	1689
515	1795	1684
516	1797	1679
517	1799	1674
518	1803	1671
519	1805	1666
520	1807	1661
521	1809	1656
522	1811	1651
523	1812	1646
524	1814	1642
525	1819	1640
526	1821	1635
527	1823	1630
528	1825	1625
529	1827	1620
530	1829	1615
531	1834	1613
532	1835	1608
533	1837	1603
534	1839	1598
535	1841	1594
536	1843	1589
537	1844	1584
538	1850	1582
539	1851	1577
540	1854	1572
541	1855	1568
542	1857	1563
543	1859	1558
544	1865	1557
545	1867	1552
546	1869	1548
547	1870	1543
548	1872	1538
549	1873	1533
550	1875	1528
551	1879	1525
552	1881	1520
553	1882	1515
554	1884	1511
555	1886	1506
556	1887	1501
557	1889	1496
558	1890	1491
559	1893	1487
560	1895	1483
561	1896	1478
562	1897	1473
563	1899	1468
564	1900	1463
565	1901	1458
566	1903	1453
567	1904	1448
568	1905	1443
569	1908	1439
570	1910	1435
571	1911	1430
572	1913	1426
573	1916	1421
574	1918	1417
575	1919	1413
576	1921	1409
577	1923	1404
578	1925	1400
579	1927	1395
580	1928	1390
581	1929	1385
582	1930	1381
583	1932	1376
584	1935	1372
585	1936	1368
586	1938	1363
587	1939	1358
588	1940	1354
589	1941	1349
590	1943	1344
591	1944	1340
592	1945	1335
593	1946	1330
594	1950	1327
595	1952	1323
596	1953	1318
597	1955	1314
598	1956	1309
599	1957	1305
600	1959	1300
601	1960	1296
602	1963	1292
603	1965	1288
604	1966	1284
605	1968	1279
606	1969	1275
607	1970	1270
608	1972	1266
609	1973	1261
610	1974	1257
611	1976	1252
612	1980	1250
613	1982	1246
614	1984	1242
615	1985	1237
616	1987	1233
617	1989	1229
618	1990	1225
619	1992	1221
620	1994	1217
621	1996	1213
622	1997	1208
623	1998	1204
624	2000	1200
625	2001	1195
626	2002	1191
627	2004	1187
628	2005	1182
629	2008	1179
630	2010	1175
631	2011	1171
632	2012	1166
633	2014	1162
634	2015	1158
635	2016	1154
636	2017	1149
637	2018	1145
638	2020	1141
639	2022	1137
640	2024	1134
641	2026	1129
642	2027	1125
643	2028	1121
644	2029	1117
645	2031	1113
646	2032	1108
647	2033	1104
648	2034	1100
649	2036	1096
650	2039	1093
651	2040	1089
652	2042	1085
653	2043	1081
654	2044	1076
655	2046	1072
656	2047	1068
657	2048	1064
658	2049	1060
659	2053	1057
660	2054	1053
661	2056	1049
662	2057	1046
663	2059	1042
664	2061	1038
665	2062	1034
666	2063	1030
667	2065	1026
668	2068	1023
669	2069	1019
670	2071	1015
671	2072	1011
672	2074	1007
673	2076	1004
674	2077	1000
675	2078	996
676	2080	992
677	2083	989
678	2084	985
679	2085	981
680	2087	977
681	2088	973
682	2090	970
683	2091	966
684	2092	962
685	2093	958
686	2095	954
687	2098	951
688	2099	947
689	2100	943
690	2102	940
691	2103	936
692	2104	932
693	2106	928
694	2107	924
695	2108	921
696	2111	917
697	2113	914
698	2114	910
699	2116	906
700	2117	903
701	2118	899
702	2120	895
703	2121	891
704	2122	888
705	2124	884
706	2127	881
707	2128	877
708	2129	874
709	2131	870
710	2132	866
711	2133	863
712	2134	859
713	2136	855
714	2137	852
715	2139	848
716	2141	845
717	2143	841
718	2144	838
719	2145	834
720	2147	830
721	2148	827
722	2149	823
723	2150	819
724	2152	816
725	2155	813
726	2157	810
727	2158	806
728	2160	803
729	2161	799
730	2163	796
731	2164	792
732	2165	788
733	2166	785
734	2168	781
735	2171	778
736	2172	775
737	2174	771
738	2175	768
739	2177	764
740	2178	761
741	2179	757
742	2181	754
743	2182	750
744	2185	747
745	2186	744
746	2187	740
747	2188	737
748	2190	733
749	2191	730
750	2192	727
751	2194	723
752	2195	720
753	2196	716
754	2200	714
755	2201	710
756	2202	707
757	2204	703
758	2205	700
759	2206	696
760	2208	693
761	2209	690
762	2210	686
763	2213	683
764	2215	680
765	2216	677
766	2217	673
767	2219	670
768	2220	667
769	2221	663
770	2223	660
771	2224	656
772	2225	653
773	2228	650
774	2230	647
775	2231	644
776	2233	640
777	2234	637
778	2235	634
779	2236	630
780	2238	627
781	2239	624
782	2240	621
783	2244	618
784	2245	615
785	2247	611
786	2248	608
787	2249	605
788	2251	602
789	2252	598
790	2253	595
791	2255	592
792	2257	589
793	2259	586
794	2261	583
795	2262	579
796	2264	576
797	2265	573
798	2267	570
799	2268	567
800	2269	563
801	2272	561
802	2274	557
803	2275	554
804	2276	551
805	2278	548
806	2279	545
807	2280	541
808	2282	538
809	2283	535
810	2284	532
811	2288	529
812	2290	526
813	2291	523
814	2292	520
815	2309	520
816	2311	517
817	2312	514
818	2314	511
819	2315	508
820	2320	505
821	2321	502
822	2322	499
823	2324	496
824	2325	493
825	2326	490
826	2327	486
827	2329	483
828	2330	480
829	2331	477
830	2334	474
831	2336	471
832	2337	468
833	2339	465
834	2340	462
835	2341	459
836	2343	456
837	2344	453
838	2345	450
839	2349	447
840	2351	444
841	2352	441
842	2353	438
843	2355	435
844	2356	432
845	2357	429
846	2359	426
847	2360	423
848	2362	420
849	2365	417
850	2366	414
851	2368	411
852	2369	408
853	2370	405
854	2372	402
855	2373	399
856	2375	396
857	2377	393
858	2379	390
859	2381	387
860	2383	384
861	2384	381
862	2386	378
863	2387	375
864	2388	372
865	2390	369
866	2393	367
867	2395	364
868	2396	361
869	2398	358
870	2399	355
871	2400	352
872	2401	349
873	2403	346
874	2404	343
875	2407	340
876	2409	337
877	2410	335
878	2412	332
879	2413	329
880	2414	326
881	2416	323
882	2417	320
883	2418	317
884	2420	314
885	2424	311
886	2425	308
887	2426	306
888	2428	303
889	2429	300
890	2430	297
891	2431	294
892	2433	291
893	2434	288
894	2437	285
895	2439	283
896	2440	280
897	2441	277
898	2443	274
899	2444	271
900	2446	268
901	2447	265
902	2448	263
903	2451	260
904	2453	257
905	2455	254
906	2456	251
907	2457	249
908	2459	246
909	2460	243
910	2462	240
911	2463	237
912	2466	235
913	2468	232
914	2469	229
915	2471	226
916	2472	223
917	2473	220
918	2474	218
919	2475	215
920	2477	212
921	2478	209
922	2481	207
923	2483	204
924	2485	201
925	2486	198
926	2488	195
927	2489	193
928	2491	190
929	2492	187
930	2493	184
931	2497	182
932	2498	179
933	2499	176
934	2501	173
935	2502	171
936	2503	168
937	2504	165
938	2506	162
939	2507	160
940	2509	157
941	2511	154
942	2512	151
943	2514	149
944	2515	146
945	2516	143
946	2517	140
947	2519	138
948	2520	135
949	2521	132
950	2524	130
951	2526	127
952	2527	124
953	2529	121
954	2530	119
955	2531	116
956	2533	113
957	2534	111
958	2535	108
959	2536	105
960	2539	103
961	2541	100
962	2542	97
963	2544	95
964	2545	92
965	2547	89
966	2548	86
967	2549	84
968	2551	81
969	2554	78
970	2555	76
971	2557	73
972	2558	70
973	2559	68
974	2561	65
975	2562	63
976	2563	60
977	2565	57
978	2566	55
979	2569	52
980	2571	49
981	2572	47
982	2574	44
983	2575	41
984	2576	39
985	2578	36
986	2579	33
987	2580	31
988	2582	28
989	2584	26
990	2586	23
991	2587	20
992	2588	18
993	2589	15
994	2591	13
995	2592	10
996	2594	7
997	2595	5
998	2599	2
999	2600	0
